[Pallet Barode, Fruit Size, Origin, Comodity, Grower, Container, TempTale, Vessel, Shipping Line, Loading Port, Destination Port]
0212527206340,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207484,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527208276,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527206173,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527208153,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207040,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207194,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527208283,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207170,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0,0.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205947,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527206319,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205800,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207439,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527206357,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205534,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205633,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205572,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527206111,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527207354,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205596,9.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
0212527205794,7.0,Costa Rica,Pina,PRODUCTOS AGROPECUARIOS VISA,CGMU 511670-0,HJG1C02SB0,CMA CGM FORT DESAIX V. 0DRBZN1MA,CMA CGM,Limon,LONDON GATEWAY PORT
